"date","sensor","staff","year"
2017-08-06,1.46413043478261,1.28413043478261,2017
2017-08-07,1.46375,1.28375,2017
2017-08-08,1.461125,1.281125,2017
2017-08-09,1.462125,1.282125,2017
2017-08-10,1.46433333333333,1.28433333333333,2017
2017-08-11,1.466125,1.286125,2017
2017-08-12,1.47108333333333,1.29108333333333,2017
2017-08-13,1.4714347826087,1.2914347826087,2017
2017-08-14,1.470375,1.290375,2017
2017-08-15,1.47420833333333,1.29420833333333,2017
2017-08-16,1.49983333333333,1.31983333333333,2017
2017-08-17,1.502125,1.322125,2017
2017-08-18,1.496375,1.316375,2017
2017-08-19,1.49079166666667,1.31079166666667,2017
2017-08-20,1.48379166666667,1.30379166666667,2017
2017-08-21,1.480375,1.300375,2017
2017-08-22,1.47041666666667,1.29041666666667,2017
2017-08-23,1.48879166666667,1.30879166666667,2017
2017-08-24,1.49429166666667,1.31429166666667,2017
2017-08-25,1.48266666666667,1.30266666666667,2017
2017-08-26,1.47191666666667,1.29191666666667,2017
2017-08-27,1.47341666666667,1.29341666666667,2017
2017-08-28,1.47279166666667,1.29279166666667,2017
2017-08-29,1.479375,1.299375,2017
2017-08-30,1.51516666666667,1.33516666666667,2017
2017-08-31,1.5105,1.3305,2017
2017-09-01,1.49020833333333,1.31020833333333,2017
2017-09-02,1.47841666666667,1.29841666666667,2017
2017-09-03,1.46558333333333,1.28558333333333,2017
2017-09-04,1.485125,1.305125,2017
2017-09-05,1.49770833333333,1.31770833333333,2017
2017-09-06,1.49795833333333,1.31795833333333,2017
2017-09-07,1.50220833333333,1.32220833333333,2017
2017-09-08,1.52025,1.34025,2017
2017-09-09,1.51929166666667,1.33929166666667,2017
2017-09-10,1.52095833333333,1.34095833333333,2017
2017-09-11,1.54654166666667,1.36654166666667,2017
2017-09-12,1.54045833333333,1.36045833333333,2017
2017-09-13,1.53216666666667,1.35216666666667,2017
2017-09-14,1.563125,1.383125,2017
2017-09-15,1.56770833333333,1.38770833333333,2017
2017-09-16,1.552875,1.372875,2017
2017-09-17,1.55791666666667,1.37791666666667,2017
2017-09-18,1.53933333333333,1.35933333333333,2017
2017-09-19,1.57120833333333,1.39120833333333,2017
2017-09-20,1.56616666666667,1.38616666666667,2017
2017-09-21,1.55458333333333,1.37458333333333,2017
2017-09-22,1.560375,1.380375,2017
2017-09-23,1.55858333333333,1.37858333333333,2017
2017-09-24,1.54070833333333,1.36070833333333,2017
2017-09-25,1.51470833333333,1.33470833333333,2017
2017-09-26,1.51066666666667,1.33066666666667,2017
2017-09-27,1.489,1.309,2017
2017-09-28,1.46875,1.28875,2017
2017-09-29,1.46470833333333,1.28470833333333,2017
2017-09-30,1.45633333333333,1.27633333333333,2017
2017-10-01,1.452,1.272,2017
2017-10-02,1.44445833333333,1.26445833333333,2017
2017-10-03,1.43866666666667,1.25866666666667,2017
2017-10-04,1.42904166666667,1.24904166666667,2017
2017-10-05,1.42754166666667,1.24754166666667,2017
2017-10-06,1.42945833333333,1.24945833333333,2017
2017-10-07,1.42429166666667,1.24429166666667,2017
2017-10-08,1.43795833333333,1.25795833333333,2017
2017-10-09,1.45008333333333,1.27008333333333,2017
2017-10-10,1.45454166666667,1.27454166666667,2017
2017-10-11,1.45341666666667,1.27341666666667,2017
2017-10-12,1.44433333333333,1.26433333333333,2017
2017-10-13,1.44941666666667,1.26941666666667,2017
2017-10-14,1.52195833333333,1.34195833333333,2017
2017-10-15,1.577375,1.397375,2017
2017-10-16,1.61125,1.43125,2017
2017-10-17,1.89516666666667,1.71516666666667,2017
2017-10-18,1.950875,1.770875,2017
2017-10-19,2.08858333333333,1.90858333333333,2017
2017-10-20,2.12866666666667,1.94866666666667,2017
2017-10-21,2.09720833333333,1.91720833333333,2017
2017-10-22,2.15358333333333,1.97358333333333,2017
2017-10-23,2.21479166666667,2.03479166666667,2017
2017-10-24,2.17704166666667,1.99704166666667,2017
2017-10-25,2.09620833333333,1.91620833333333,2017
2017-10-26,2.04283333333333,1.86283333333333,2017
2017-10-27,2.00045833333333,1.82045833333333,2017
2017-10-28,1.968,1.788,2017
2017-10-29,1.89845833333333,1.71845833333333,2017
2017-10-30,1.860125,1.680125,2017
2017-10-31,1.81983333333333,1.63983333333333,2017
2017-11-01,1.80475,1.62475,2017
2017-11-02,1.77483333333333,1.59483333333333,2017
2017-11-03,1.72520833333333,1.54520833333333,2017
2017-11-04,1.684125,1.504125,2017
2017-11-05,1.657125,1.477125,2017
2017-11-06,1.64725,1.46725,2017
2017-11-07,1.63991666666667,1.45991666666667,2017
2017-11-08,1.610375,1.430375,2017
2017-11-09,1.59475,1.41475,2017
2017-11-10,1.59625,1.41625,2017
2017-11-11,1.60920833333333,1.42920833333333,2017
2017-11-12,1.72341666666667,1.54341666666667,2017
2017-11-13,1.878,1.698,2017
2017-11-14,2.23391304347826,2.05391304347826,2017
2017-11-15,2.6055,2.4255,2017
2017-11-16,2.37141666666667,2.19141666666667,2017
2017-11-17,2.11995833333333,1.93995833333333,2017
2017-11-18,2.07470833333333,1.89470833333333,2017
2017-11-19,2.95570833333333,2.77570833333333,2017
2017-11-20,3.05854166666667,2.87854166666667,2017
2017-11-21,2.8605,2.6805,2017
2017-11-22,3.22183333333333,3.04183333333333,2017
2017-11-23,3.59545833333333,3.41545833333333,2017
2017-11-24,3.67566666666667,3.49566666666667,2017
2017-11-25,3.79983333333333,3.61983333333333,2017
2017-11-26,4.52904166666667,4.34904166666667,2017
2017-11-27,4.072375,3.892375,2017
2017-11-28,3.64952173913043,3.46952173913043,2017
2017-11-29,3.42908333333333,3.24908333333333,2017
2017-11-30,3.53922727272727,3.35922727272727,2017
2017-12-01,3.45179166666667,3.27179166666667,2017
2017-12-02,3.25616666666667,3.07616666666667,2017
2017-12-03,3.05325,2.87325,2017
2017-12-04,2.817625,2.637625,2017
2017-12-05,2.54358333333333,2.36358333333333,2017
2017-12-06,2.34370833333333,2.16370833333333,2017
2017-12-07,2.244375,2.064375,2017
2017-12-08,2.16491666666667,1.98491666666667,2017
2017-12-09,2.09070833333333,1.91070833333333,2017
2017-12-10,2.01604166666667,1.83604166666667,2017
2017-12-11,1.93883333333333,1.75883333333333,2017
2017-12-12,1.90204166666667,1.72204166666667,2017
2017-12-13,1.891875,1.711875,2017
2017-12-14,1.889875,1.709875,2017
2017-12-15,1.86795833333333,1.68795833333333,2017
2017-12-16,1.852875,1.672875,2017
2017-12-17,1.83258333333333,1.65258333333333,2017
2017-12-18,1.79704166666667,1.61704166666667,2017
2017-12-19,1.73916666666667,1.55916666666667,2017
